business_name,author_name,review_text,rating,sentimentNum,subjectivity,lang,review_length,exclaim_count,caps_count,contains_url,inauthentic,irrelevant,advertisement,rant,policy_violations,reason
Kasikla Restaurant,Sena Arpacioglu,We ate special ravioli; classic ravioli; yaglama; they were not friendly; their yaglama was like minced meat pasta; not greasing.,2,0.11,0.41,en,20,0,0,False,0,0,0,0,0,"The review has a low sentiment score (0.11), suggesting a negative opinion but lacks specific details or strong, emotive language that would characterize a rant. The review length is reasonable, and there are no URLs or excessive capitalization. While the review describes the food, the wording (""not greasing"") is somewhat vague and doesn't point to a deliberate attempt to mislead or promote the restaurant. Therefore, it doesn't appear to be an inauthentic review."
J Burber,Selen Guler,I tried the orient burger and cheesburger. Oriental burger was good; but nothing to exaggerate as described. King crab was okay; it felt like I was eating dough balls rather than crab. Mayonnaise was not good.,3,0.28,0.57,en,36,0,0,False,0,0,0,0,0,"The review expresses a somewhat critical opinion about the food (""Oriental burger was good; but nothing to exaggerate as described,"" ""Mayonnaise was not good""). While the sentiment is slightly negative (0.28), it's a relatively measured critique with specific details about the dishes. There are no strong indicators of inauthenticity, advertisement, or a rant. The review length (36) and subjectivity (0.57) are also within reasonable ranges for genuine user reviews."
Tavuk Dunyasi,Yasemin Beril,It is very crowded and arrives incredibly late. If you are very hungry; it is better to eat somewhere else.,3,0.15,0.42,en,20,0,0,False,0,0,0,0,0,"The review expresses a negative experience (""very crowded and arrives incredibly late"") but provides a relatively specific complaint. The sentiment (-0.15) is moderately negative, the subjectivity is moderate (0.42), and the review length is reasonable (20). There are no strong indicators of inauthenticity, advertisement, or ranting."
Medeniyetler Sofrasi,Sabri Yildiz,We came with a guest from abroad; everything was perfect. Taste; cleanliness; service..,5,1.0,1.0,en,13,0,0,False,0,0,0,0,0,"The review expresses a positive experience (""everything was perfect. Taste; cleanliness; service.."") with a 5-star rating. The sentiment score is 1.0, indicating a strongly positive feeling. The review text is relatively simple and lacks specific details that would make it seem overly crafted or deceptive. There are no indicators of an advertisement (no URL, promotional language). It appears to be a genuine, positive review."
Starbucks Bodrum,Arif Kar,Familiar coffee that I taste,3,0.38,0.5,en,5,0,0,False,0,0,0,0,0,"The review ""Familiar coffee that I taste"" is very generic and lacks specific details. The sentiment score of 0.38 indicates a mildly positive sentiment, but combined with the vague language, it leans toward an inauthentic review attempting to provide a minimal positive rating without genuine experience. There are no indicators of an advertisement (no URL, caps, or promotional language). The review length is acceptable, and while the sentiment is positive, it is not overly enthusiastic, so it does not qualify as a rant."
Bogazkoy Restaurant,Yusuf Arslan,I tried Antep taco; I liked.,4,0.6,0.8,en,6,0,0,False,0,0,0,0,0,"The review is a very short and generic positive statement (""I tried Antep taco; I liked.""). While the sentiment is positive (0.6), the lack of specific details and the simple language suggest it may be a genuine, albeit brief, positive comment. There's no strong evidence of inauthenticity, irrelevant content, advertisement, or rant."
Fikret Balik Restaurant,Volkan Kamadan,The assortment is exceptionally good. Fish and accompanying appetizers are very diverse and sufficient. Everything was fresh.,5,0.4,0.47,en,17,0,0,False,0,0,0,0,0,"The review is a positive testimonial with specific details about the food (""Fish and accompanying appetizers are very diverse and sufficient. Everything was fresh."") and a 5-star rating. The sentiment score of 0.4 indicates a generally positive opinion, and the review length (17) is reasonable. There are no strong indicators of inauthenticity, irrelevant content, advertising, or a rant."
Asucan Restaurant,Onur Akyurt,Credit card is not accepted. The flavors are good.,4,0.7,0.6,en,9,0,0,False,0,0,0,0,0,"The review is relatively short and provides a simple, somewhat generic observation (""Credit card is not accepted. The flavors are good.""). While the sentiment is positive (0.7), it lacks specific details that would make it suspicious. The rating of 4 is reasonable, and there are no unusual characteristics (like excessive capitalization or exclamation marks) to suggest inauthenticity. Therefore, it is unlikely to be a fake review."
KFC,Hilal Keser,Not friendly; zero customer service. Pretty disappointing. Limited ketchup sauce only two per customer..,1,-0.12,0.67,en,14,0,0,False,0,0,0,1,0,"The review has a negative sentiment score of -0.12, indicating a negative opinion. Combined with the descriptive language (""Not friendly; zero customer service. Pretty disappointing.""), it leans towards a rant, expressing strong dissatisfaction. The review length is also relatively short, which can be a characteristic of emotionally charged, brief rants."
Kruvasan,Mesut Mutlu,You wait in line for 20-50 minutes when you leave. Eating the poached egg croissant left a strange feeling in the mouth. Egg with mushrooms was unsalted.,3,0.12,0.38,en,27,0,0,False,0,0,0,0,0,"The review expresses specific negative experiences (long wait times, unusual taste, unsalted egg) with relatively detailed descriptions. While the sentiment is negative (0.12), it doesn't exhibit the hallmarks of a deceptive or overly emotional rant. The length and detail suggest a genuine customer experience rather than a fabricated or promotional review. There is no evidence of a url, caps or exclamation marks to suggest an advertisement or rant."
Koco Restaurant,Nihat Karabiber,Generally good service thank you!,4,0.88,0.6,en,5,1,0,False,0,0,0,0,0,"The review is a simple, positive statement (""Generally good service thank you!"") with a moderate sentiment score (0.88) and a relatively short length (5). There's no evidence of deceptive intent, promotional language, or excessive negativity to flag it as inauthentic, irrelevant, an advertisement, or a rant."
Diyarbakir Ocakbasi Palace,Ugur Dagci,A restaurant that has lost its previous refinement. Lahmacun as seen in the photo. The service is slow. I recommend a little more wannabe and attention.,2,-0.04,0.39,en,26,0,0,False,0,0,0,1,0,"The review has a negative sentiment (-0.04) and a subjectivity rating of 0.39, suggesting a potentially overly emotional and critical opinion. While not overtly aggressive, the phrase ""I recommend a little more wannabe and attention"" is vague and potentially sarcastic, leaning towards a ranting style. The combination of these factors suggests a frustrated customer expressing dissatisfaction, rather than a neutral or objective assessment."
Vefa Bozacisi,Muhammed Duman,Vefa Bozacisi must be the most beautiful place that comes to mind when Boza is mentioned. The groceries are quite affordable.,5,0.68,0.75,en,21,0,0,False,0,0,0,0,0,"The review is a relatively positive and specific comment about a local establishment (""Vefa Bozacisi""). The sentiment (0.68) indicates a generally favorable opinion, the subjectivity score (0.75) suggests a personal experience, and the review length (21) is reasonable. There are no strong indicators of inauthenticity, irrelevant content, advertising, or a rant."
Kofteci Yusuf,Furkan Cam,Great service.,4,0.8,0.75,en,2,0,0,False,0,0,0,0,0,"The review is relatively short (""Great service."") and uses generic positive language. While the sentiment score is positive (0.8), the lack of specific details and the simplicity of the statement suggest it could be a somewhat inauthentic, potentially artificially inflated review. However, there isn’t enough evidence to definitively label it as inauthentic."
Sanukiya,Ashley Hsu,The set composition was good! Chicken egg rice and karaage were delicious. Many Koreans come here for udon. Waiters are friendly and service is fast!,3,0.4,0.69,en,25,2,0,False,0,0,0,0,0,"This review is a relatively detailed and positive account of a dining experience. The sentiment is moderately positive (0.4), the subjectivity is reasonable (0.69), and the language is specific (mentioning chicken egg rice and karaage). There's no indication of inauthentic intent, advertising language, or an overly critical rant. The length of the review is also reasonable at 25 characters."
Tuana Restaurant,Emre Bozkurt,Mexican chicken was hearty; hot and fresh in portion. Service was a little late. An ideal place to dine with a lake view.,4,0.05,0.63,en,23,0,0,False,0,0,0,0,0,"The review is relatively detailed (""Mexican chicken was hearty; hot and fresh in portion"") and provides a specific positive assessment. The sentiment is quite low (0.05), but this is tempered by the descriptive nature of the review. The subjectivity rating (0.63) suggests a reasonably personal opinion. There are no strong indicators of inauthenticity, advertisement, or ranting."
Metanet Lokantasi,Ramazan Meral,I had eaten Beyran in a few places; but I didn't like it very much. I drank here and liked it. I can drink it every day.,4,0.22,0.39,en,27,0,0,False,0,0,0,0,0,"The review is relatively short and contains somewhat generic language (""I liked it,"" ""I can drink it every day""). While the sentiment is slightly positive (0.22), it lacks specific details about the food or atmosphere, which is typical of many genuine reviews. The review doesn’t contain a URL, nor does it exhibit characteristics of an advertisement. Therefore, it’s unlikely to be inauthentic."
Ciya Sofrasi,Fatih Buzgan,We ordered stuffed mumbar; artichokes; liked and tamarind sherbet. All of them were good in taste; quality of materials and presentation.,5,0.65,0.7,en,21,0,0,False,0,0,0,0,0,"This review is a relatively detailed and positive comment about the food and presentation at Ciya Sofrasi. The sentiment score of 0.65 suggests a genuinely positive experience. There are no strong indicators of inauthenticity, irrelevant content, advertisement, or rant. The review length (21) is reasonable and doesn't immediately raise concerns."
Sanukiya,Marine Mizu,The best udon restaurant in the capital! Few tables however; making a lot of waiting at peak times.,5,0.4,0.2,en,18,1,0,False,0,0,0,0,0,"The review is a positive recommendation for a restaurant, detailing a positive experience (""The best udon restaurant in the capital!""). The sentiment score of 0.4, combined with the descriptive nature of the text, suggests it is a genuine review. There are no strong indicators of inauthenticity, irrelevant content, advertising, or a rant."
Ahsap Iskender,Faruk Colak,Expensive; poor presentation; taste was not good enough to come from out of town and try. There are no treats.,3,-0.31,0.6,en,20,0,0,False,0,0,0,0,0,"The review expresses a negative opinion about the food and presentation, utilizing descriptive language. While the sentiment is negative (-0.31), it doesn't exhibit overly aggressive or sensationalized language, excessive capitalization, or exclamation marks, suggesting it's not an exaggerated rant. The review text is descriptive, and the length (20) is reasonable, making it unlikely to be a deliberately deceptive inauthentic review. There is no URL present, and the language is relatively straightforward."
Backyard,Aysun Biter,Ambient food; nice open area; heated pet friendly place; renovated garden is very nice.,5,0.44,0.75,en,14,0,0,False,0,0,0,0,0,"This review is a positive one with specific details (""Ambient food; nice open area; heated pet friendly place; renovated garden is very nice."") and a sentiment score of 0.44.  It does not exhibit characteristics of an inauthentic review, advertisement, or rant. The review length is also reasonable at 14 words."
Ahsap Iskender,Omer Ata,The interior is very well designed. It has a historical texture. Employees were engaged. Frankly; the taste of iskender was not overly good; it was normal.,4,0.26,0.39,en,26,0,0,False,0,0,0,0,0,"The review provides a relatively detailed, albeit slightly generic, description of the interior and staff. The sentiment score of 0.26 indicates a mildly positive experience, and the subjectivity score of 0.39 suggests it's a personal opinion rather than a heavily biased statement. There's no evidence of deceptive intent, promotional language, or an overly emotional rant. The review's length and the presence of specific details (historical texture, engaged employees) support its authenticity."
Classic Thai,Hamad Almuftad,I like thailand foods but not like here ones.,3,0.0,0.0,en,9,0,0,False,1,0,0,0,0,"The review receives a 3/5 star rating and a negative sentiment score of 0.0, indicating a mildly negative experience. The review text ""I like thailand foods but not like here ones"" is vague and lacks specific details. While not overtly deceptive, the combination of a low rating and generic sentiment suggests a potentially inauthentic review, possibly crafted to provide a minimal negative feedback to influence ratings. There is no evidence of an advertisement or rant."
Kukis Suadiye,Gozde Sahinyilmaz,If you want to eat cake or dessert; the real taste is here. The place is very stylish in design. Each of the employees is very caring and helpful; but they have difficulty dealing with everyone because it is crowded.,5,0.35,0.53,en,40,0,0,False,0,0,0,0,0,"The review is a 5-star rating with a sentiment of 0.35, indicating a generally positive opinion. The review text provides specific details about the atmosphere (""stylish in design""), staff (""caring and helpful""), and potential issue (crowds). The subjectivity score of 0.53 and review length of 40 further support its authenticity. There is no evidence of inauthentic intent, advertisement language, or an overly critical rant."
Kocak Baklava,Sedat Demir,Nice ambiance; tasty and crispy baklava and sobiyet.,5,0.6,1.0,en,8,0,0,False,0,0,0,0,0,"The review is a positive one with specific details (""tasty and crispy baklava and sobiyet"") and a sentiment score of 0.6. There are no strong indicators of inauthenticity, irrelevant content, advertising, or a rant. The review length is also reasonable."
Tavuk Dunyasi,Erdal Taylan,We ordered cafe de paris; it was delicious; and the price was 35tl.,4,1.0,1.0,en,13,0,0,False,0,0,0,0,0,"The review is a simple, positive statement about a cafe de paris and its price. The sentiment is positive (1.0), the subjectivity is high (1.0), the length is reasonable, and there are no unusual features like URLs or excessive capitalization. There’s no strong evidence to suggest it’s inauthentic, an advertisement, or a rant."
Alavara,Esin Erdinc,They serve an uncooked pasta with a tasteless sauce and cheese and some corn. Half portion is 20 TL. It didn't suit my taste.,1,-0.29,0.39,en,24,0,1,False,1,0,0,1,0,"The review has a negative sentiment score of -0.29 and a subjectivity score of 0.39, which suggests it's a critical opinion but doesn't necessarily indicate deceptive intent. However, the strong negative language (""tasteless sauce,"" ""didn't suit my taste"") combined with the exclamation mark count (1) and a low overall rating (1) points to an overly critical rant, potentially an exaggerated reaction to a minor issue. This suggests it may be an emotional outpouring rather than a carefully crafted review."
Bilice,Ugur Ozubek,Good with potatoes; good with cheese; medium with spinach; medium with minced meat. Plain pastry was good; pastry was good. I did not like the tea.,4,0.52,0.55,en,26,0,0,False,0,0,0,0,0,"The review provides specific details about the food items (potatoes, cheese, spinach, minced meat, pastry) and the tea, indicating a genuine customer experience. The sentiment score of 0.52 suggests a moderately positive experience, which aligns with the provided details. There's no evidence of overly generic language, promotional content, or an angry rant. The review length (26) is also reasonable."
Kukis Suadiye,Ozdogan Kevser,Desserts are good but waiters are very surly; We were not well received.,3,0.45,0.45,en,13,0,0,False,0,0,0,0,0,"The review expresses a negative sentiment (0.45) and describes a poor experience with the waiters. However, it provides a specific complaint (surly waiters) and isn't overly emotional or hyperbolic. The language is relatively straightforward and doesn't contain excessive capitalization or exclamation marks, suggesting it is a genuine, albeit negative, customer review rather than an inauthentic or promotional one."
Midyeci Ahmet,Rifat Ozbek,I had the chance to try classic mussels and mussels with sauce. Both were beautiful. Kokorec was also good.,5,0.57,0.59,en,19,0,0,False,0,0,0,0,0,"The review is a positive experience with specific dishes mentioned (""classic mussels and mussels with sauce,"" ""kokorec""). The sentiment is moderately positive (0.57), the subjectivity is moderate (0.59), and the review length is reasonable (19). There are no strong indicators of inauthenticity, irrelevant content, an advertisement, or a rant."
Sema Gozleme,Michael Backy,Delicious foods. I think place has to more cleaner.,3,0.75,0.75,en,9,0,0,False,0,0,0,0,0,"The review expresses a relatively mild criticism (""place has to more cleaner"") with a positive sentiment (0.75) and a reasonable length (9). While the sentiment is slightly positive, it doesn’t exhibit the strong, generic language or excessive emotion often seen in inauthentic or rant-like reviews.  There's no evidence of an advertisement (no URL) or overly critical rant."
Kumrucu Omur,Efe Eryurt,I'm really surprised; it's a huge business; but the staff is so indifferent and bored.,2,0.0,0.93,en,15,0,0,False,0,0,0,0,0,"The review expresses a negative opinion regarding the staff's behavior (""indifferent and bored"") which is a valid customer complaint. The sentiment score of -1 indicates a negative feeling, but it is not overly dramatic or hyperbolic, nor does it contain excessive capitalization or exclamation marks suggesting a rant. The review text is relatively short and provides a specific detail about the staff's demeanor. There is no URL present, and the language is standard English. Therefore, it doesn't appear to be inauthentic, irrelevant, an advertisement, or a rant."
Alavara,Eylem Dag,Excellent taste; and the shabbyness of the place was also nice.,4,0.8,1.0,en,11,0,0,False,0,0,0,0,0,"The review expresses a positive sentiment (0.8) with specific, albeit somewhat generic, descriptions (""Excellent taste; and the shabbyness of the place was also nice.""). There are no strong indicators of inauthenticity like overly positive language, excessive exclamation marks, or caps. The review is also of an appropriate length for a typical Google Maps review."
Fethiye Dondurmacisi,Murat Yesilci,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,5,0.47,0.42,en,32,0,0,False,0,0,0,0,0,"The review is a positive testimonial for an ice cream shop, providing specific details about the quality and pricing (""legendary,"" ""real milk ice cream,"" ""cheap from the center""). The sentiment score of 0.47 indicates a generally positive experience. The review length is reasonable (32 characters), and there are no strong indicators of inauthenticity such as overly generic language, excessive capitalization, or the inclusion of URLs. Therefore, it does not appear to be inauthentic, irrelevant, an advertisement, or a rant."
Ahsap Iskender,Sena Akim,It is very delicious; even the yogurt. However; a very very expensive portion of Iskender should not be 225 liras…,3,0.17,0.95,en,20,0,0,False,0,0,0,0,0,"The review expresses a specific complaint about the price (225 liras for an Iskender portion), which is a reasonable and potentially valid concern. The sentiment score of 0.17 indicates a mildly negative opinion, but it doesn't suggest deception or an attempt to manipulate ratings. The review length (20) and other metrics (subjectivity, language) do not strongly indicate inauthenticity or a rant. There is no URL present, and the language is specific."
Kadineli,Basak Kaymak,Delicious!,5,1.0,1.0,en,1,1,0,False,0,0,0,0,0,"The review states ""Delicious!"" with a 5-star rating and a positive sentiment (1.0). This is a simple, positive statement with no indicators of inauthenticity, irrelevance, advertisement, or ranting. The pre-processed data (sentiment, subjectivity) supports a genuine positive experience."
Antakya Mutfagi,Erdan Acikgoz,Nice atmosphere!,5,0.75,1.0,en,2,1,0,False,0,0,0,0,0,"The review states “Nice atmosphere!” with a 5-star rating and a sentiment of 0.75. This is a relatively generic and positive statement without specific details, which is typical for genuine reviews. There are no indicators of inauthenticity, irrelevant content, advertisement language, or a rant."
Classic Thai,Kadir Sandal,Ambiance were pretty good.,5,0.47,0.8,en,4,0,0,False,0,0,0,0,0,"The review is a single sentence stating ""Ambiance were pretty good."" with a 5-star rating. While somewhat generic, it doesn't exhibit strong indicators of inauthenticity, an advertisement, or a rant. The sentiment score of 0.47 suggests a mildly positive opinion, and the review length is reasonable. There is no URL and the capitalization count is 0, so there's no strong evidence of manipulation."
Hasan Usta,Ayse Gokoglu,I liked the kebab and salad; but I can't say the same for their appetizers. It was less in variety; unfortunately; it was unpleasant for those who came. The ambiance was great.,4,0.01,0.62,en,32,0,0,False,0,0,0,0,0,"The review has a sentiment of 0.01, indicating a mildly positive opinion. The subjectivity score of 0.62 suggests a somewhat personal and detailed account. The review length (32) is reasonable, and there are no indicators of excessive capitalization, exclamation marks, or URLs. While the review mentions a lack of variety in appetizers, it doesn't exhibit the hallmarks of a deceptive or overly critical rant. Therefore, it doesn’t appear to be inauthentic, irrelevant, an advertisement, or a rant."
Kumsal Lokantasi,Charles Laria,We had a pleasant time. The ambiance was nice.,3,0.67,0.98,en,9,0,0,False,0,0,0,0,0,"The review is relatively short (""We had a pleasant time. The ambiance was nice."") and uses generic, positive language (""pleasant time,"" ""nice ambiance""). While the sentiment score (0.67) suggests a positive experience, the lack of specific details and the simple phrasing make it unlikely to be an inauthentic review. There are no indicators of advertising or a rant."
Riviera,Metin Tumay,"It was very expensive, but taste wasn't bad.",2,-0.67,0.79,en,8,0,0,False,0,0,0,0,0,"The review expresses a simple opinion (""It was very expensive, but taste wasn't bad."") with a negative sentiment (-0.67) and a subjective rating (0.79). While the sentiment is negative, it's a relatively mild complaint and doesn’t exhibit strong indicators of inauthenticity, irrelevant content, an advertisement, or a rant. The review text is also fairly detailed."
Cafe Inn,Sarp Kendirci,The food is delicious but a little pricey. The best Cappucino in Datça is here..,3,0.6,0.6,en,15,0,0,False,0,0,0,0,0,"The review is relatively short and uses somewhat generic language (""The food is delicious,"" ""best Cappucino""). While the sentiment is positive (0.6), it lacks specific details about the experience, making it unlikely to be inauthentic. The review is also in English and does not contain a URL. Therefore, there is no evidence to classify this review as inauthentic, irrelevant, an advertisement, or a rant."
Koco Restaurant,Osman Kuzgun,The summer part of the place is stylish and pleasant; the view is wonderful. The food and appetizers are delicious. Prices were a little expensive.,4,0.42,0.86,en,25,0,0,False,0,0,0,0,0,"This review is a relatively positive and descriptive account of a restaurant experience. The sentiment score of 0.42 indicates a generally positive tone. The subjectivity score of 0.86 suggests a personal perspective, but doesn’t point to deceptive intent. There are no strong indicators of inauthenticity, irrelevant content, or advertisement. The review length is reasonable and the language is not overly generic or sensationalized."
Churchill Bistro,Sibel Sarihan,A pleasant place with a beach; delicious food,5,0.87,0.98,en,8,0,0,False,0,0,0,0,0,"The review is a simple, positive statement (""A pleasant place with a beach; delicious food"") with a high sentiment score (0.87) and a relatively high subjectivity score (0.98), suggesting a genuine opinion. There are no indicators of inauthenticity such as overly generic language, promotional language, URLs, or excessive capitalization. The review length is also appropriate for a simple review."
Sakip Usta Gaziantep,Ali Kaya,Ayran came when the meal was over; the food was very bitter.,5,-0.13,0.65,en,12,0,0,False,0,0,0,0,0,"The review expresses a negative opinion about the food and service (""Ayran came when the meal was over; the food was very bitter.""), but the language is relatively specific and doesn't exhibit the hallmarks of a deceptive or overly emotional rant. The sentiment is negative (-0.13), and the subjectivity is moderate (0.65), indicating a genuine, albeit critical, customer experience. There are no indications of advertising (no URL), irrelevant language, or excessive caps/exclamation marks."
Koco Restaurant,Serhat Bayhan,A decent place where you can dine under the trees; accompanied by the moonlight. Employees are friendly.,4,0.27,0.58,en,17,0,0,False,0,0,0,0,0,"The review is a relatively short, positive comment (""A decent place where you can dine under the trees; accompanied by the moonlight. Employees are friendly."") with a sentiment score of 0.27. While somewhat generic, it doesn't display strong indicators of inauthenticity, deception, or an advertisement. The sentiment is low but not extremely negative, and the language is straightforward. No URL is present, and there are no excessive use of capital letters or exclamation marks."
Nazar Cafe,Cihangir Dagdeviren,I recommend profiteroles and meringue; they are their own production. The entrance is suitable for the disabled. It's good that they're paying attention to this.,5,0.41,0.66,en,25,0,0,False,0,0,0,0,0,"This review is a positive and specific recommendation of menu items (""profiteroles and meringue"") and mentions accessibility features (disabled entrance). The sentiment is positive (0.41), the subjectivity is moderate (0.66), and the review length is reasonable. There are no indicators of inauthenticity, advertisement, or a rant. The language is clear and descriptive, providing valuable information to potential customers."
Kocak Baklava,Cem Baba,Gaziantep was one of the cities we visited during our trip to Southeast Anatolia. We decided to eat baklava from Kocak Baklava. It is the number ten place for me with its understanding of both quality and service. When I come to Gaziantep again; I want to stop by here again and eat this baklava again.,3,0.0,0.0,en,56,0,0,False,0,0,0,0,0,"This review is relatively detailed and provides specific context (visiting Southeast Anatolia and a personal ranking). The sentiment is neutral (0.0), the subjectivity score is low (0.0), and the review length is reasonable. There are no strong indicators of inauthenticity, advertising, or a rant. The rating of 3 and the specific mention of ranking it ""number ten"" are plausible for a genuine customer review."
Umut Pide,Fatih Cakir,Friendly waiters; nice service and delicious food. In addition; the price is also affordable.,4,0.66,0.83,en,14,0,0,False,0,0,0,0,0,"This review is a standard, positive review with generally agreeable language and a moderate sentiment score. There are no strong indicators of inauthenticity, advertisement, or a rant. The sentiment is balanced, and the language is descriptive but not overly embellished. The review length (14) and other metrics (low caps, no exclamation marks, no URL) further support its authenticity."
Metanet Lokantasi,Cagri Ural,I'm ending my vacation by leaving my favorite food here..,5,0.5,1.0,en,10,0,0,False,0,0,0,0,0,"The review is relatively short and uses generic positive language (""I'm ending my vacation by leaving my favorite food here..""). While the sentiment is positive (0.5), it lacks specific details about the food or experience, making it unlikely to be deceptive. There are no strong indicators of inauthenticity, irrelevant content, advertising, or a rant."
Haci'nin Yeri - Yigit Lokantasi,Orhan Kapu,Turkey's cheapest artisan restaurant and its food is delicious!,5,1.0,1.0,en,9,1,0,False,0,0,0,0,0,"The review is a straightforward, positive statement about the restaurant’s price and food quality. The sentiment score of 1.0, subjectivity of 1.0, and length of 9 indicate a genuine review. There's no evidence of inauthenticity, advertising, or a rant."
Sardalye,Furkan Ciftci,We ate our meal on the top floor; the location of the place was beautiful. The flavors and portions were good. I suggest you to eat fish bread.,5,0.68,0.7,en,28,0,0,False,0,0,0,0,0,"The review is a positive testimonial with relatively detailed observations about the location and food. The sentiment score of 0.68 indicates a genuine positive experience. There are no indicators of inauthenticity, irrelevant content, advertising, or a rant. The review text is descriptive and provides specific details about the meal and location."
Kebabci Mahmut,Selin Yilmazer,Affordable prices. Recommend.,4,0.0,0.0,en,3,0,0,False,0,0,0,0,0,"The review is short (""Affordable prices. Recommend."") and uses generic positive language. While the sentiment is positive (0.0), the lack of specific details and the brevity suggest it might be a low-effort, authentic review. There are no indicators of inauthenticity, irrelevant content, advertisement, or rant."
Suflor,Henna Saleem,This café was highly recommended by an Istanbul-based blogger for its soufflés. The unique 2D interiors and decorations caught my eye as soon as I entered. I opted for the Chocolate with Orange soufflé; while my husband chose the Chocolate with Blueberries. I must say; the taste was absolutely amazing.,4,0.38,0.81,en,50,0,1,False,0,0,0,0,0,"The review is a relatively detailed account of a positive experience, mentioning specific items ordered (Chocolate with Orange and Chocolate with Blueberries soufflé) and observations about the ambiance (""unique 2D interiors and decorations""). The sentiment is moderately positive (0.38), the subjectivity is relatively high (0.81), and the review length (50) is reasonable. There are no strong indicators of inauthenticity, advertisement, or ranting.  The presence of a blogger recommendation adds credibility."
Antakya Mutfagi,Ali Erdogan,Thank you very much for bringing the flavors of Antakya here.,5,0.26,0.26,en,11,0,0,False,0,0,0,0,0,"The review expresses a positive sentiment (0.26) and thanks the business. The language is simple and generic (""Thank you very much for bringing the flavors of Antakya here.""), which is typical of authentic reviews. There is no evidence of deceptive intent, promotional language, or an overly critical rant. The review length (11) is also unremarkable."
Minoa,Asude Cinkir,Flat white is very tasty and affordable. The interior of the place is very nicely decorated; I was like amazed.,4,0.24,0.36,en,20,0,0,False,0,0,0,0,0,"The review is relatively positive with a sentiment of 0.24 and a length of 20 words. While somewhat generic (""Flat white is very tasty and affordable. The interior of the place is very nicely decorated""), it doesn’t exhibit strong indicators of inauthenticity, advertising, or a rant. The subjectivity score of 0.36 also suggests it's a genuine opinion rather than promotional language."
Kaliteci,Egor Grai,The donut had no filling in it so it was like sweet bread.,2,0.35,0.65,en,13,0,0,False,0,0,0,0,0,"The review provides a specific and detailed negative feedback (""The donut had no filling in it so it was like sweet bread."") which is not typical of an inauthentic or overly generic review. The sentiment score of 0.35 indicates a mildly negative opinion, and the subjectivity score of 0.65 suggests a genuine personal experience rather than a promotional statement. There is no evidence of an advertisement (no URL) or an overly critical rant (low caps count, exclamation marks, and a reasonable sentiment score)."
Patso Burger,Halit Kerim,The flavor that I ate as a child is here; but there were many queues; as in all parts of Istanbul.,3,0.5,0.5,en,21,0,0,False,0,0,0,0,0,"The review is relatively short and uses somewhat generic language (""The flavor that I ate as a child is here""). While the sentiment is neutral (0.5), it lacks specific details about the food or experience, making it difficult to assess authenticity. The review does not contain any strong indicators of inauthenticity, and it doesn't appear to be an advertisement or rant."
Imam Cagdas,Humeyra Akyuz,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,3,0.17,0.57,en,26,0,0,False,1,0,0,0,0,"The review has a very low sentiment score (0.17) and a subjectivity score of 0.57, suggesting it is not a particularly enthusiastic or detailed review. The statement ""this was the most expensive"" combined with the specific price details (240 tl for lahmacun, 50 tl for lahmacun and 5 tl for tea) could be an attempt to express a negative experience, but the phrasing is somewhat generic. It could be an inauthentic review designed to express dissatisfaction. There is no evidence of a url, or promotional language to suggest an advertisement."
Imam Cagdas,Hakan Unveren,"They sold us rotten pistachios, it sucks!",1,-0.38,0.3,en,7,1,0,False,1,0,0,1,0,"The review has a very low rating (1) and a strong negative sentiment (-0.38), combined with the exclamation mark count (1) and all-caps count (0). This suggests an overly critical and potentially emotionally driven rant rather than a factual review. The language, ""It sucks!"" is generic and doesn't provide specific details about the experience, which is a common characteristic of inauthentic reviews attempting to artificially lower ratings."
Abidin Tantuni,Meltem Ovali,we had a delicious tantuni experience. I was amazed by the taste of ayran; pickles and tantuni trio.,5,1.0,1.0,en,18,0,0,False,0,0,0,0,0,"The review is a positive experience with specific details about the food (""tantuni,"" ""ayran,"" ""pickles"") and is not overly emotional or hyperbolic. The sentiment score of 1.0 indicates a positive experience. The review length (18) and the presence of specific details also suggest an authentic review. There is no evidence of inauthenticity, advertisement, or ranting."
Tuana Restaurant,Engin Firtina,The presentations are very good; it obviously has a skilled and attentive chef. Fish and squid are fresh.,4,0.42,0.64,en,18,0,0,False,0,0,0,0,0,"The review is relatively positive with a sentiment score of 0.42 and a length of 18. There are no strong indicators of inauthenticity, irrelevant content, advertising, or a rant. The review provides some specific details about the food (""Fish and squid are fresh"") and the chef's skill, suggesting a genuine experience."
Kebabci Halil Usta,Hatice Saral,Meats are tasty without fat; but not very suitable for me. Since I like the meat cooked more; I couldn't enjoy it much anyway; I couldn't finish what I ordered. Although the portions are small; the prices are quite expensive.,4,0.02,0.48,en,40,0,0,False,0,0,0,0,0,"The review is relatively short and provides some specific feedback regarding the meat being cooked to a preferred level. The sentiment is very low (-0.02), but not overwhelmingly negative, and the subjectivity is moderate (0.48). There are no indicators of a fake review, such as overly enthusiastic language, excessive capitalization, or URLs. The review is a reasonable, albeit critical, opinion."
